,Feature name,Coefficients,P Values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Max_Difference,Score - Final
0,Intercept,-1.374036063178318,,Intercept,312.6908126716131,313.0,0.30918732838688356,0.0,313.0
1,grade:A,1.1236618305626866,3.228237300562596e-35,grade,86.6927167682422,87.0,0.3072832317577934,0.3072832317577934,87.0
2,grade:B,0.8789184809723944,4.2785506534187333e-47,grade,67.81028674361708,68.0,0.18971325638291603,0.0,68.0
3,grade:C,0.6847964362359029,6.712385683882914e-34,grade,52.83338979377106,53.0,0.1666102062289383,0.0,53.0
4,grade:D,0.49692272108314994,1.3470441611823843e-20,grade,38.338563741186384,38.0,-0.338563741186384,0.0,38.0
5,grade:E,0.3214917738560325,1.025491647216932e-11,grade,24.803721667989805,25.0,0.19627833201019484,0.0,25.0
6,grade:F,0.13428287311638323,0.006242225966776563,grade,10.360187352875442,10.0,-0.36018735287544246,0.0,10.0
7,home_ownership:OWN,0.0935146855026348,3.4619615035235615e-06,home_ownership,7.214841621781767,7.0,-0.21484162178176724,0.0,7.0
8,home_ownership:MORTGAGE,0.10624886670430068,4.420922708103465e-17,home_ownership,8.197308707665314,8.0,-0.1973087076653144,-0.1973087076653144,8.0
9,addr_state:NM_VA,0.036018494443926685,0.2608538576810634,addr_state,2.7788975760458046,3.0,0.22110242395419544,0.0,3.0
10,addr_state:NY,0.055556378999302464,0.021830231318108618,addr_state,4.2862837361342185,4.0,-0.28628373613421854,0.0,4.0
11,addr_state:OK_TN_MO_LA_MD_NC,0.05799596380232175,0.012258427430589577,addr_state,4.474502494311979,4.0,-0.4745024943119791,0.0,4.0
12,addr_state:CA,0.06215070263089259,0.003375303002426408,addr_state,4.795048753617543,5.0,0.204951246382457,0.0,5.0
13,addr_state:UT_KY_AZ_NJ,0.07645909958237707,0.00214871192627813,addr_state,5.898969675894899,6.0,0.10103032410510071,0.0,6.0
14,addr_state:AR_MI_PA_OH_MN,0.13344132702630712,3.149711165287148e-09,addr_state,10.295260419477826,10.0,-0.29526041947782566,0.0,10.0
15,addr_state:RI_MA_DE_SD_IN,0.0978946009088205,0.0010331853994619373,addr_state,7.552760696230683,8.0,0.447239303769317,0.0,8.0
16,addr_state:GA_WA_OR,0.18376202095713443,5.573721605461184e-12,addr_state,14.177600771238351,14.0,-0.17760077123835138,0.0,14.0
17,addr_state:WI_MT,0.2379113545648684,5.628665490525214e-07,addr_state,18.355328192391017,18.0,-0.355328192391017,0.0,18.0
18,addr_state:TX,0.22095933166110604,1.836687653526478e-17,addr_state,17.04744633659398,17.0,-0.047446336593978344,0.0,17.0
19,addr_state:IL_CT,0.2599004442292426,5.675956318748291e-19,addr_state,20.051829640082335,20.0,-0.05182964008233526,0.0,20.0
20,addr_state:KS_SC_CO_VT_AK_MS,0.31856379085422437,5.11973536900905e-25,addr_state,24.57782202970551,25.0,0.42217797029449144,0.0,25.0
21,addr_state:WV_NH_WY_DC_ME_ID,0.5219651621184892,1.0716089805784987e-22,addr_state,40.27063724302894,40.0,-0.27063724302894343,-0.27063724302894343,40.0
22,verification_status:Not Verified,0.08571894694016578,4.377191855236681e-09,verification_status,6.613385083156656,7.0,0.38661491684334415,0.38661491684334415,6.0
23,verification_status:Source Verified,-0.011184846641096908,0.4049609653080468,verification_status,-0.8629328820996603,-1.0,-0.13706711790033965,0.0,-1.0
24,purpose:credit_card,0.30185641502823846,1.2543998113994963e-26,purpose,23.288815176373607,23.0,-0.2888151763736069,-0.2888151763736069,23.0
25,purpose:debt_consolidation,0.1980862523047868,2.5027022332432276e-14,purpose,15.282743348274142,15.0,-0.28274334827414194,0.0,15.0
26,purpose:oth__med__vacation,0.2128254089751976,7.728256493580541e-12,purpose,16.41989822875167,16.0,-0.41989822875166993,0.0,16.0
27,purpose:major_purch__car__home_impr,0.26626229882392133,1.4732630046579357e-17,purpose,20.542659214867342,21.0,0.45734078513265786,0.0,21.0
28,initial_list_status:w,0.053827108000246995,3.738949802860057e-05,initial_list_status,4.152867082779019,4.0,-0.15286708277901884,-0.15286708277901884,4.0
29,term:36,0.07894259553080113,1.6307045052906018e-08,term,6.090576265169174,6.0,-0.09057626516917416,-0.09057626516917416,6.0
30,emp_length:1,0.09915733681211746,0.00013145818475390655,emp_length,7.650183250810823,8.0,0.34981674918917705,0.0,8.0
31,emp_length:2-4,0.12585265423756659,2.5957302847575083e-11,emp_length,9.709779411911956,10.0,0.29022058808804374,0.29022058808804374,10.0
32,emp_length:5-6,0.09109203112797618,2.0815821334699196e-05,emp_length,7.0279290793983975,7.0,-0.027929079398397505,0.0,7.0
33,emp_length:7-9,0.061143599617231544,0.0032867073356860543,emp_length,4.717348778460391,5.0,0.2826512215396093,0.0,5.0
34,emp_length:10,0.12504323106159548,1.1792737388392133e-11,emp_length,9.647330824417466,10.0,0.35266917558253397,0.35266917558253397,10.0
35,mths_since_issue_d:<38,1.0842061355196417,4.7536101420330944e-181,mths_since_issue_d,83.64863241632649,84.0,0.3513675836735075,0.3513675836735075,84.0
36,mths_since_issue_d:38-39,0.8791937255566381,1.030384430134553e-149,mths_since_issue_d,67.83152240379066,68.0,0.16847759620934255,0.0,68.0
37,mths_since_issue_d:40-41,0.7782520714416941,5.658634729500495e-124,mths_since_issue_d,60.04367556919399,60.0,-0.04367556919398652,0.0,60.0
38,mths_since_issue_d:42-48,0.5771611295303367,1.0851888243145229e-87,mths_since_issue_d,44.52911451744899,45.0,0.4708854825510116,0.0,45.0
39,mths_since_issue_d:49-52,0.4156874528877384,8.261892400819394e-41,mths_since_issue_d,32.07110327780979,32.0,-0.0711032778097902,0.0,32.0
40,mths_since_issue_d:53-64,0.16993645693689263,5.950359272427472e-09,mths_since_issue_d,13.110931357747798,13.0,-0.11093135774779839,0.0,13.0
41,mths_since_issue_d:65-84,-0.0717884048707353,0.014071920608740091,mths_since_issue_d,-5.538616407025279,-6.0,-0.4613835929747214,0.0,-6.0
42,int_rate:<9.548,0.8831474586719368,3.583539380678865e-31,int_rate,68.13656067760134,68.0,-0.13656067760133794,-0.13656067760133794,68.0
43,int_rate:9.548-12.025,0.5586651391526283,5.928601454586211e-36,int_rate,43.102112539140386,43.0,-0.10211253914038565,0.0,43.0
44,int_rate:12.025-15.74,0.3061324332820195,7.242342053197397e-17,int_rate,23.618718381491146,24.0,0.38128161850885434,0.0,24.0
45,int_rate:15.74-20.281,0.11316910245943676,9.360856031678196e-05,int_rate,8.731218485475468,9.0,0.26878151452453203,0.0,9.0
46,mths_since_earliest_cr_line:141-164,0.05577134665289796,0.024979597322531407,mths_since_earliest_cr_line,4.302868912742162,4.0,-0.302868912742162,0.0,4.0
47,mths_since_earliest_cr_line:165-247,0.03716218007812449,0.06424654140744994,mths_since_earliest_cr_line,2.867135168585339,3.0,0.1328648314146612,0.0,3.0
48,mths_since_earliest_cr_line:248-270,0.07947942987305684,0.0024539318097983654,mths_since_earliest_cr_line,6.131994088858472,6.0,-0.1319940888584723,0.0,6.0
49,mths_since_earliest_cr_line:271-352,0.12204188646846886,1.8922069331869387e-07,mths_since_earliest_cr_line,9.415771195302428,9.0,-0.4157711953024279,0.0,9.0
50,mths_since_earliest_cr_line:>352,0.1293609054051856,1.0692276888171404e-06,mths_since_earliest_cr_line,9.980447878664048,10.0,0.019552121335951966,0.019552121335951966,10.0
51,inq_last_6mths:0,0.6662671235046367,3.526926243474242e-14,inq_last_6mths,51.40381693045022,51.0,-0.40381693045021905,-0.40381693045021905,51.0
52,inq_last_6mths:1-2,0.5197621260674957,3.2472149518768822e-09,inq_last_6mths,40.10066868558193,40.0,-0.10066868558192965,0.0,40.0
53,inq_last_6mths:3-6,0.3095428319396235,0.00046073273831367966,inq_last_6mths,23.88183733494212,24.0,0.11816266505788064,0.0,24.0
54,acc_now_delinq:>=1,0.18036453877444103,0.08867979577517973,acc_now_delinq,13.915478349190877,14.0,0.08452165080912266,0.08452165080912266,14.0
55,annual_inc:20K-30K,-0.0815178652683123,0.05300375920171602,annual_inc,-6.289263382488165,-6.0,0.28926338248816474,0.0,-6.0
56,annual_inc:30K-40K,-0.018920480322442992,0.6402424481452527,annual_inc,-1.4597522111178833,-1.0,0.45975221111788334,0.0,-1.0
57,annual_inc:40K-50K,0.07568096413048551,0.06120880959153139,annual_inc,5.838934997753006,6.0,0.16106500224699438,0.0,6.0
58,annual_inc:50K-60K,0.14254861764282464,0.0004993913359748206,annual_inc,10.997905774574079,11.0,0.0020942254259210813,0.0,11.0
59,annual_inc:60K-70K,0.21809658263513376,1.9087455986176e-07,annual_inc,16.826579627645703,17.0,0.17342037235429686,0.0,17.0
60,annual_inc:70K-80K,0.29154773102005793,8.742878093943616e-12,annual_inc,22.49347996192837,22.0,-0.49347996192836874,0.0,22.0
61,annual_inc:80K-90K,0.3673914899598248,1.4589174409089943e-16,annual_inc,28.34497489889841,28.0,-0.3449748988984105,0.0,28.0
62,annual_inc:90K-100K,0.3871993551753867,4.2051794233262216e-17,annual_inc,29.873190597082548,30.0,0.12680940291745202,0.0,30.0
63,annual_inc:100K-120K,0.46510299227843466,2.3204484475934624e-24,annual_inc,35.88360917934273,36.0,0.1163908206572728,0.0,36.0
64,annual_inc:120K-140K,0.5523774531008904,1.858501743562487e-26,annual_inc,42.617005213088405,43.0,0.3829947869115955,0.3829947869115955,43.0
65,annual_inc:>140K,0.491546848119402,4.983456824425213e-25,annual_inc,37.923804585404724,38.0,0.07619541459527568,0.0,38.0
66,dti:<=1.4,0.25246175723117853,0.002457392239679376,dti,19.477920330795,19.0,-0.4779203307950013,0.0,19.0
67,dti:1.4-3.5,0.37154088685366465,1.1002980590087369e-07,dti,28.665109017449492,29.0,0.3348909825505082,0.0,29.0
68,dti:3.5-7.7,0.3844504388449432,1.7593530706007883e-10,dti,29.661106304128147,30.0,0.33889369587185314,0.33889369587185314,30.0
69,dti:7.7-10.5,0.31971715817454033,9.323567241993517e-08,dti,24.66680658334103,25.0,0.3331934166589683,0.0,25.0
70,dti:10.5-16.1,0.24114746941690862,3.079760268911389e-05,dti,18.605000808000767,19.0,0.39499919199923283,0.0,19.0
71,dti:16.1-20.3,0.13984306765441987,0.015813011933574952,dti,10.789167280066668,11.0,0.2108327199333324,0.0,11.0
72,dti:20.3-21.7,0.12746297343468493,0.03561068150818687,dti,9.834018700161463,10.0,0.1659812998385366,0.0,10.0
73,dti:21.7-22.4,0.09203461744283202,0.15510035221314736,dti,7.100651464550965,7.0,-0.10065146455096485,0.0,7.0
74,dti:22.4-35,0.05027008040412497,0.38008636869915025,dti,3.878435418785405,4.0,0.1215645812145949,0.0,4.0
75,mths_since_last_delinq:Missing,0.11041385172765558,0.03459361515720494,mths_since_last_delinq,8.518645481018972,9.0,0.48135451898102843,0.0,9.0
76,mths_since_last_delinq:4-30,0.13695285425050155,0.009474136032486544,mths_since_last_delinq,10.566181640427919,11.0,0.43381835957208104,0.0,11.0
77,mths_since_last_delinq:31-56,0.1830935618806602,0.0006154672918680928,mths_since_last_delinq,14.126027840831947,14.0,-0.12602784083194685,-0.12602784083194685,14.0
78,mths_since_last_delinq:>=57,0.13610387312656458,0.012898373041547439,mths_since_last_delinq,10.500681079567721,11.0,0.49931892043227855,0.0,11.0
79,mths_since_last_record:Missing,0.3208753607253282,7.949779905169153e-05,mths_since_last_record,24.75616418450243,25.0,0.24383581549756883,0.0,25.0
80,mths_since_last_record:3-20,0.44062462353602,0.00033471295224786555,mths_since_last_record,33.99505496257087,34.0,0.004945037429131105,0.0,34.0
81,mths_since_last_record:21-31,0.35070999561774785,0.0018324541101681672,mths_since_last_record,27.05796485287368,27.0,-0.05796485287368114,0.0,27.0
82,mths_since_last_record:32-80,0.5029557786521319,3.96444408276406e-09,mths_since_last_record,38.80402597977853,39.0,0.19597402022147037,0.19597402022147037,39.0
83,mths_since_last_record:81-86,0.1758389139741019,0.08604680454986499,mths_since_last_record,13.566317508852762,14.0,0.43368249114723767,0.0,14.0
84,mths_since_last_record:>86,0.2327072100856802,0.005710387848913214,mths_since_last_record,17.953818226417226,18.0,0.046181773582773644,0.0,18.0
85,grade:G,0.0,,grade,0.0,0.0,0.0,0.0,0.0
86,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0,0.0
87,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0,0.0
88,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0,0.0
89,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0,0.0
90,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0,0.0
91,term:60,0.0,,term,0.0,0.0,0.0,0.0,0.0
92,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0,0.0
93,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0,0.0
94,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0,0.0
95,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0,0.0
96,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0,0.0
97,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0,0.0
98,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0,0.0
99,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0,0.0
100,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0,0.0
101,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0,0.0
